epoch,train_loss,val_loss
1,40.0405,39.8275
2,39.8249,39.6890
3,39.7254,39.7328
4,39.6763,39.7351
5,39.6100,39.7600
6,39.5435,39.8128
7,39.4740,39.6602
8,39.4766,39.7733
9,39.3524,39.6337
10,39.3269,39.7619
11,39.3144,39.8289
12,39.2728,39.6528
13,39.2437,39.7866
14,39.2489,39.7205
15,39.2150,39.6003
16,39.2016,39.6890
17,39.1707,39.8849
18,39.1168,39.6582
19,39.0932,39.5832
20,39.0787,39.6216
21,39.0699,39.9606
22,39.0543,39.5794
23,39.0155,39.7786
24,39.0563,39.6403
25,38.8989,40.0656
26,38.9836,39.5016
27,38.9268,39.4817
28,38.9353,39.5569
29,38.8533,39.4720
30,38.9070,39.5640
31,38.8873,39.5153
32,38.8035,39.6466
33,38.7140,39.4365
34,38.6292,39.6726
35,38.5582,39.5138
36,38.6291,39.5586
37,38.7182,39.5005
38,38.6950,39.4738
39,38.5730,39.5281
40,38.6161,39.4764
41,38.4623,39.5018
42,38.5359,39.4813
43,38.5259,39.3655
44,38.4954,39.3714
45,38.4076,39.3487
46,38.4174,39.5918
47,38.4971,39.3924
48,38.3327,39.4068
49,38.2640,39.4677
50,38.1753,39.3792
51,38.1869,39.4226
52,38.3120,39.4534
53,38.1921,39.7166
54,38.2271,39.4315
55,38.1634,39.4341
56,38.0889,39.6300
57,38.1662,39.9713
58,38.0572,39.8499
59,38.1509,39.5688
60,38.0022,39.9694
61,38.0335,39.5650
62,37.9959,39.6109
63,38.0829,39.1724
64,37.9559,39.3982
65,37.8931,39.5245
66,38.0906,39.5999
67,38.0299,39.4137
68,37.7646,39.7150
69,37.8193,39.6150
70,37.6359,39.2949
71,37.7586,39.9907
72,37.7381,39.9036
73,37.7733,39.6426
74,37.8049,39.8714
75,37.6718,39.5432
76,37.6666,39.6322
77,37.5031,39.7919
78,37.6685,39.7547
79,37.5857,39.5012
80,37.7338,39.5837
81,37.5907,39.5050
82,37.5566,39.5447
83,37.4532,39.5429
84,37.5623,39.6475
85,37.4971,39.6054
86,37.3859,40.0380
87,37.3309,39.6516
88,37.4032,39.7811
89,37.4582,39.8051
90,37.3660,39.8474
91,37.4757,39.6477
92,37.3425,39.8684
93,37.4619,39.6756
94,37.2467,40.0351
95,37.2451,39.6576
96,37.3169,39.5162
97,37.3053,39.7701
98,37.2726,39.6161
99,37.1766,39.4781
100,37.0507,39.6050
101,37.0659,39.7296
102,36.9833,39.9969
103,36.9577,39.8813
104,37.0539,40.0536
105,36.9832,40.1856
106,37.0509,39.7869
107,37.0494,39.8240
108,36.8566,39.8913
109,37.0634,39.7861
110,37.1385,39.9089
111,36.8966,39.7159
112,36.8952,39.8743
113,36.8674,39.7387
