epoch,train_loss,val_loss
1,0.1216,0.1157
2,0.0800,0.1066
3,0.0772,0.1059
4,0.0734,0.1058
5,0.0765,0.1058
6,0.0764,0.1058
7,0.0735,0.1058
8,0.0730,0.1058
9,0.0749,0.1058
10,0.0730,0.1058
11,0.0742,0.1058
12,0.0766,0.1058
13,0.0727,0.1058
14,0.0746,0.1058
15,0.0748,0.1058
16,0.0772,0.1058
17,0.0744,0.1058
18,0.0741,0.1058
19,0.0749,0.1058
20,0.0763,0.1058
21,0.0771,0.1058
22,0.0756,0.1058
23,0.0723,0.1058
24,0.0748,0.1058
25,0.0752,0.1058
26,0.0765,0.1058
27,0.0765,0.1058
28,0.0745,0.1058
29,0.0749,0.1058
30,0.0760,0.1058
31,0.0753,0.1058
32,0.0757,0.1058
33,0.0747,0.1058
34,0.0735,0.1058
35,0.0750,0.1058
36,0.0753,0.1058
37,0.0748,0.1058
38,0.0737,0.1058
39,0.0746,0.1058
40,0.0772,0.1058
41,0.0742,0.1058
42,0.0736,0.1058
43,0.0755,0.1058
44,0.0748,0.1058
45,0.0744,0.1058
46,0.0749,0.1058
47,0.0740,0.1058
48,0.0748,0.1058
49,0.0750,0.1058
50,0.0746,0.1058
51,0.0757,0.1058
52,0.0750,0.1058
53,0.0758,0.1058
54,0.0742,0.1058
55,0.0744,0.1058
56,0.0748,0.1058
57,0.0762,0.1058
58,0.0751,0.1058
59,0.0746,0.1058
60,0.0742,0.1058
61,0.0750,0.1058
62,0.0771,0.1058
63,0.0773,0.1058
64,0.0749,0.1058
65,0.0748,0.1058
66,0.0762,0.1058
67,0.0747,0.1058
68,0.0743,0.1058
69,0.0743,0.1058
70,0.0747,0.1058
71,0.0729,0.1058
72,0.0757,0.1058
73,0.0779,0.1058
74,0.0746,0.1058
75,0.0739,0.1058
76,0.0753,0.1058
77,0.0749,0.1058
78,0.0765,0.1058
79,0.0731,0.1058
80,0.0739,0.1058
81,0.0740,0.1058
82,0.0738,0.1058
83,0.0738,0.1058
84,0.0734,0.1058
85,0.0742,0.1058
86,0.0755,0.1058
87,0.0741,0.1058
88,0.0759,0.1058
89,0.0749,0.1058
90,0.0750,0.1058
91,0.0750,0.1058
92,0.0734,0.1058
93,0.0744,0.1058
94,0.0737,0.1058
95,0.0742,0.1058
96,0.0745,0.1058
97,0.0737,0.1058
98,0.0758,0.1058
99,0.0740,0.1058
100,0.0743,0.1058
101,0.0764,0.1058
102,0.0743,0.1058
103,0.0732,0.1058
104,0.0761,0.1058
105,0.0753,0.1058
106,0.0726,0.1058
107,0.0738,0.1058
108,0.0743,0.1058
109,0.0756,0.1058
110,0.0740,0.1058
111,0.0739,0.1058
112,0.0743,0.1058
113,0.0726,0.1058
114,0.0735,0.1058
115,0.0724,0.1058
116,0.0739,0.1058
117,0.0758,0.1058
118,0.0747,0.1058
119,0.0745,0.1058
120,0.0739,0.1058
121,0.0743,0.1058
122,0.0738,0.1058
123,0.0745,0.1058
124,0.0743,0.1058
125,0.0768,0.1058
126,0.0757,0.1058
127,0.0722,0.1058
128,0.0748,0.1058
129,0.0746,0.1058
130,0.0743,0.1058
131,0.0751,0.1058
132,0.0741,0.1058
133,0.0750,0.1058
134,0.0739,0.1058
135,0.0752,0.1058
136,0.0750,0.1058
137,0.0746,0.1058
138,0.0737,0.1058
139,0.0729,0.1058
140,0.0755,0.1058
141,0.0760,0.1058
142,0.0751,0.1058
143,0.0734,0.1058
144,0.0743,0.1058
145,0.0737,0.1058
146,0.0740,0.1058
147,0.0738,0.1058
148,0.0756,0.1058
149,0.0747,0.1058
150,0.0760,0.1058
151,0.0750,0.1058
152,0.0732,0.1058
153,0.0758,0.1058
154,0.0733,0.1058
155,0.0742,0.1058
156,0.0753,0.1058
157,0.0741,0.1058
158,0.0760,0.1058
159,0.0744,0.1058
160,0.0757,0.1058
161,0.0738,0.1058
162,0.0753,0.1058
163,0.0729,0.1058
164,0.0758,0.1058
165,0.0738,0.1058
166,0.0733,0.1058
167,0.0741,0.1058
168,0.0747,0.1058
169,0.0774,0.1058
170,0.0743,0.1058
171,0.0745,0.1058
172,0.0776,0.1058
173,0.0753,0.1058
174,0.0749,0.1058
175,0.0748,0.1058
176,0.0763,0.1058
177,0.0756,0.1058
178,0.0737,0.1058
179,0.0743,0.1058
180,0.0736,0.1058
181,0.0736,0.1058
182,0.0759,0.1058
183,0.0745,0.1058
184,0.0752,0.1058
185,0.0749,0.1058
186,0.0748,0.1058
187,0.0750,0.1058
188,0.0754,0.1058
189,0.0759,0.1058
190,0.0760,0.1058
191,0.0752,0.1058
192,0.0738,0.1058
193,0.0747,0.1058
194,0.0746,0.1058
195,0.0733,0.1058
196,0.0756,0.1058
197,0.0753,0.1058
198,0.0759,0.1058
199,0.0760,0.1058
200,0.0760,0.1058
201,0.0762,0.1058
202,0.0744,0.1058
203,0.0738,0.1058
204,0.0741,0.1058
205,0.0749,0.1058
206,0.0731,0.1058
207,0.0751,0.1058
208,0.0771,0.1058
209,0.0745,0.1058
210,0.0729,0.1058
211,0.0737,0.1058
212,0.0755,0.1058
213,0.0740,0.1058
214,0.0741,0.1058
215,0.0739,0.1058
216,0.0743,0.1058
217,0.0745,0.1058
218,0.0745,0.1058
219,0.0759,0.1058
220,0.0754,0.1058
221,0.0743,0.1058
222,0.0733,0.1058
223,0.0752,0.1058
224,0.0730,0.1058
225,0.0746,0.1058
226,0.0742,0.1058
227,0.0735,0.1058
228,0.0762,0.1058
229,0.0744,0.1058
230,0.0754,0.1058
231,0.0749,0.1058
232,0.0725,0.1058
233,0.0753,0.1058
234,0.0758,0.1058
235,0.0764,0.1058
236,0.0763,0.1058
237,0.0771,0.1058
238,0.0749,0.1058
239,0.0716,0.1058
240,0.0768,0.1058
241,0.0760,0.1058
242,0.0759,0.1058
243,0.0767,0.1058
