epoch,train_loss,val_loss
1,40.5449,39.8117
2,39.5708,39.8170
3,39.4157,39.7797
4,39.2765,39.7799
5,39.1395,39.9166
6,39.0247,39.7910
7,38.9010,39.8346
8,38.9154,39.7837
9,38.8066,39.8275
10,38.7336,39.7821
11,38.6798,39.7916
12,38.6104,39.8504
13,38.5258,39.8084
14,38.5515,39.7755
15,38.4429,39.8463
16,38.3583,39.8516
17,38.3191,39.8440
18,38.3714,39.7741
19,38.2423,39.7666
20,38.1766,39.8442
21,38.1223,39.7770
22,38.1031,39.8269
23,38.0678,39.9033
24,38.0311,39.7656
25,37.9413,39.8362
26,37.8470,39.9210
27,37.9511,39.8963
28,37.8732,39.8734
29,37.7632,39.9441
30,37.7512,39.8176
31,37.6308,39.8570
32,37.6647,39.9458
33,37.5713,39.8752
34,37.4893,39.9502
35,37.5025,39.9144
36,37.5334,40.0353
37,37.4188,39.9277
38,37.3590,39.9962
39,37.2242,39.9099
40,37.3086,39.9717
41,37.2200,40.0218
42,37.1741,40.0165
43,37.0638,39.9275
44,37.1363,39.9366
45,37.0897,39.8700
46,37.0327,40.0087
47,37.0295,39.9442
48,36.9163,39.9355
49,36.9392,40.0091
50,36.7323,39.9173
51,36.7670,39.8625
52,36.7311,39.9116
53,36.8155,39.8720
54,36.7772,39.9676
55,36.8384,39.9583
56,36.6174,39.9335
57,36.6461,39.8419
58,36.5466,39.9371
59,36.7701,39.9285
60,36.5182,40.0192
61,36.4195,39.9427
62,36.4575,39.8357
63,36.2173,40.0430
64,36.3924,39.9655
65,36.2829,39.9827
66,36.3757,39.9566
67,36.2289,40.0129
68,36.0579,40.0381
69,36.1292,40.0018
70,36.1003,40.0794
71,36.2087,39.9963
72,36.2208,39.9427
73,36.1741,40.0208
74,36.1041,40.0016
